分组维度,分类,题数,正确题数,完全准确率,平均部分准确率,平均耗时毫秒,上下文精确率,证据召回率,幻觉率,多跳路径覆盖率
模块标签,,1500,853,0.5687,0.6235,1334.84,0.932,1.0,0.0213,1.0
情景类别,故障原因诊断类,500,274,0.548,0.548,1137.17,1.0,1.0,0.002,1.0
情景类别,故障措施推荐类,500,300,0.6,0.6,1274.65,1.0,1.0,0.002,1.0
情景类别,风险影响评估类,500,279,0.558,0.7224,1592.72,0.796,1.0,0.06,1.0
题型,fmea_id_to_action,167,119,0.7126,0.7126,871.89,1.0,1.0,0.0,
题型,fmea_id_to_cause,167,113,0.6766,0.6766,692.73,1.0,1.0,0.0,
题型,fmea_id_to_risk_profile,166,89,0.5361,0.7651,1068.47,0.3855,1.0,0.0241,
题型,原因后果查建议措施,48,45,0.9375,0.9375,1385.5,1.0,1.0,0.0,1.0
题型,原因后果查风险指标,86,34,0.3953,0.689,2259.57,1.0,1.0,0.0814,1.0
题型,后果探测度查原因,105,50,0.4762,0.4762,1450.66,1.0,1.0,0.0095,1.0
题型,后果查措施,37,24,0.6486,0.6486,1512.44,1.0,1.0,0.0,1.0
题型,失效现象后果查RPN,68,35,0.5147,0.5147,1779.1,1.0,1.0,0.1324,
题型,失效现象后果查处置建议,37,15,0.4054,0.4054,1736.88,1.0,1.0,0.0,1.0
题型,失效现象查完整风险画像,47,28,0.5957,0.8074,2428.31,1.0,1.0,0.1277,1.0
题型,失效现象风险分查措施,50,24,0.48,0.48,1367.89,1.0,1.0,0.02,
题型,项目原因查后果与RPN,1,1,1.0,1.0,1244.62,1.0,1.0,0.0,1.0
题型,项目失效现象发生度查原因,71,20,0.2817,0.2817,1136.16,1.0,1.0,0.0,
题型,项目失效现象后果查原因,78,43,0.5513,0.5513,1258.11,1.0,1.0,0.0,
题型,项目失效现象查后果,64,55,0.8594,0.8594,1059.67,1.0,1.0,0.0,
题型,项目失效现象查后果与RPN,68,37,0.5441,0.6765,1772.01,1.0,1.0,0.0588,
题型,项目失效现象查措施,37,15,0.4054,0.4054,1136.76,1.0,1.0,0.0,
题型,项目失效现象查改进动作,37,9,0.2432,0.2432,1449.01,1.0,1.0,0.0,
题型,项目失效现象风险指标查原因,79,48,0.6076,0.6076,1541.5,1.0,1.0,0.0,1.0
题型,项目失效现象风险查措施,37,22,0.5946,0.5946,1686.55,1.0,1.0,0.0,
题型,风险画像查措施,50,27,0.54,0.54,1570.35,1.0,1.0,0.0,
来源标签,原因到措施推理,48,45,0.9375,0.9375,1385.5,1.0,1.0,0.0,1.0
来源标签,后果与风险指标查询,68,37,0.5441,0.6765,1772.01,1.0,1.0,0.0588,
来源标签,后果到原因推理,105,50,0.4762,0.4762,1450.66,1.0,1.0,0.0095,1.0
来源标签,后果到措施推理,74,39,0.527,0.527,1624.66,1.0,1.0,0.0,1.0
来源标签,完整风险画像,47,28,0.5957,0.8074,2428.31,1.0,1.0,0.1277,1.0
来源标签,故障原因查询,245,156,0.6367,0.6367,872.73,1.0,1.0,0.0,
来源标签,故障措施查询,304,185,0.6086,0.6086,1100.59,1.0,1.0,0.0033,
来源标签,项目范围原因查询,150,68,0.4533,0.4533,1349.64,1.0,1.0,0.0,1.0
来源标签,项目范围措施查询,74,31,0.4189,0.4189,1567.78,1.0,1.0,0.0,
来源标签,项目范围风险评估,1,1,1.0,1.0,1244.62,1.0,1.0,0.0,1.0
来源标签,风险后果查询,230,144,0.6261,0.7913,1066.02,0.5565,1.0,0.0174,
来源标签,风险指标查询,154,69,0.4481,0.612,2047.41,1.0,1.0,0.1039,1.0
难度,中等,541,284,0.525,0.6118,1223.11,0.8115,1.0,0.0148,
难度,困难,440,245,0.5568,0.6368,1751.19,1.0,1.0,0.0318,1.0
难度,简单,519,324,0.6243,0.6243,1098.35,1.0,1.0,0.0193,
