分组维度,分类,题数,正确题数,完全准确率,平均部分准确率,平均耗时毫秒,上下文精确率,证据召回率,幻觉率,多跳路径覆盖率
模块标签,M1_编号直答,171,3,0.0175,0.0175,529.05,,0.0,0.0409,
模块标签,M2_规则推理,21,1,0.0476,0.0476,1288.58,,0.0,0.5714,0.0
模块标签,M3_查询理解与语义检索增强,236,7,0.0297,0.0297,720.09,,0.0,0.3644,
模块标签,M4_证据裁决,72,11,0.1528,0.1528,752.3,,,0.0,
情景类别,故障原因诊断类,98,3,0.0306,0.0306,585.91,,0.0,0.2041,
情景类别,故障措施推荐类,62,3,0.0484,0.0484,1227.46,,0.0,0.6613,
情景类别,风险影响评估类,340,16,0.0471,0.0471,612.09,,0.0,0.1294,0.0
题型,action_code,21,0,0.0,0.0,883.39,,0.0,0.0,
题型,action_colloquial,20,1,0.05,0.05,1718.98,,0.0,1.0,
题型,action_mode,21,2,0.0952,0.0952,1103.41,,0.0,1.0,
题型,cause_bool,24,3,0.125,0.125,865.13,,,0.0,
题型,cause_code,25,0,0.0,0.0,401.28,,0.0,0.0,
题型,cause_colloquial,24,0,0.0,0.0,459.18,,0.0,0.0833,
题型,cause_mode,25,0,0.0,0.0,624.13,,0.0,0.72,
题型,d_code,25,1,0.04,0.04,479.8,,0.0,0.04,
题型,effect_code,25,0,0.0,0.0,584.26,,0.0,0.0,
题型,effect_colloquial,24,2,0.0833,0.0833,412.16,,0.0,0.0,
题型,effect_mode,25,0,0.0,0.0,301.78,,0.0,0.0,
题型,mode_project_bool,24,8,0.3333,0.3333,543.31,,,0.0,
题型,o_code,25,0,0.0,0.0,472.62,,0.0,0.0,
题型,project_avg_rpn,7,1,0.1429,0.1429,1388.35,,0.0,0.7143,
题型,project_top_effect,7,0,0.0,0.0,906.73,,0.0,0.2857,0.0
题型,project_top_mode,7,0,0.0,0.0,1570.66,,0.0,0.7143,
题型,risk_bool,24,0,0.0,0.0,848.46,,,0.0,
题型,risk_colloquial,24,0,0.0,0.0,612.44,,0.0,0.1667,
题型,risk_mode_code,24,0,0.0,0.0,451.78,,0.0,0.0417,
题型,risk_mode_project,24,1,0.0417,0.0417,516.27,,0.0,0.0833,
题型,rpn_code,25,0,0.0,0.0,489.38,,0.0,0.24,
题型,rpn_mode,25,1,0.04,0.04,1215.9,,0.0,0.72,
题型,s_code,25,2,0.08,0.08,449.3,,0.0,0.0,
来源标签,,500,22,0.044,0.044,683.27,,0.0,0.21,0.0
难度,中等,113,4,0.0354,0.0354,858.86,,0.0,0.3363,0.0
难度,简单,387,18,0.0465,0.0465,632.0,,0.0,0.1731,
