分组维度,分类,题数,正确题数,完全准确率,平均部分准确率,平均耗时毫秒,上下文精确率,证据召回率,幻觉率,多跳路径覆盖率
模块标签,M1_编号直答,171,146,0.8538,0.8538,396.9,1.0,1.0,0.0,
模块标签,M2_规则推理,21,7,0.3333,0.3333,1401.76,1.0,0.7143,0.1429,1.0
模块标签,M3_查询理解与语义检索增强,236,189,0.8008,0.8008,381.97,1.0,1.0,0.0042,
模块标签,M4_证据裁决,72,70,0.9722,0.9722,446.25,1.0,1.0,0.0,
情景类别,故障原因诊断类,98,90,0.9184,0.9184,367.09,1.0,1.0,0.0,
情景类别,故障措施推荐类,62,62,1.0,1.0,529.83,1.0,1.0,0.0,
情景类别,风险影响评估类,340,260,0.7647,0.7647,443.41,1.0,0.9824,0.0118,1.0
题型,action_code,21,21,1.0,1.0,465.6,1.0,1.0,0.0,
题型,action_colloquial,20,20,1.0,1.0,854.65,1.0,1.0,0.0,
题型,action_mode,21,21,1.0,1.0,284.7,1.0,1.0,0.0,
题型,cause_bool,24,24,1.0,1.0,453.37,1.0,1.0,0.0,
题型,cause_code,25,21,0.84,0.84,310.93,1.0,1.0,0.0,
题型,cause_colloquial,24,22,0.9167,0.9167,333.64,1.0,1.0,0.0,
题型,cause_mode,25,23,0.92,0.92,372.51,1.0,1.0,0.0,
题型,d_code,25,22,0.88,0.88,403.26,1.0,1.0,0.0,
题型,effect_code,25,20,0.8,0.8,276.47,1.0,1.0,0.0,
题型,effect_colloquial,24,18,0.75,0.75,314.65,1.0,1.0,0.0,
题型,effect_mode,25,19,0.76,0.76,311.92,1.0,1.0,0.0,
题型,mode_project_bool,24,24,1.0,1.0,488.98,1.0,1.0,0.0,
题型,o_code,25,16,0.64,0.64,420.0,1.0,1.0,0.0,
题型,project_avg_rpn,7,3,0.4286,0.4286,2525.66,1.0,0.1429,0.4286,
题型,project_top_effect,7,1,0.1429,0.1429,590.58,1.0,1.0,0.0,1.0
题型,project_top_mode,7,3,0.4286,0.4286,1089.03,1.0,1.0,0.0,
题型,risk_bool,24,22,0.9167,0.9167,396.41,1.0,1.0,0.0,
题型,risk_colloquial,24,1,0.0417,0.0417,565.47,1.0,1.0,0.0417,
题型,risk_mode_code,24,23,0.9583,0.9583,269.54,1.0,1.0,0.0,
题型,risk_mode_project,24,18,0.75,0.75,312.38,1.0,1.0,0.0,
题型,rpn_code,25,24,0.96,0.96,672.5,1.0,1.0,0.0,
题型,rpn_mode,25,24,0.96,0.96,274.67,1.0,1.0,0.0,
题型,s_code,25,22,0.88,0.88,240.51,1.0,1.0,0.0,
来源标签,,500,412,0.824,0.824,439.16,1.0,0.988,0.008,1.0
难度,中等,113,68,0.6018,0.6018,669.56,1.0,0.9469,0.0354,1.0
难度,简单,387,344,0.8889,0.8889,371.89,1.0,1.0,0.0,
