分组维度,分类,题数,正确题数,完全准确率,平均部分准确率,平均耗时毫秒,上下文精确率,证据召回率,幻觉率,多跳路径覆盖率
模块标签,,1500,393,0.262,0.2756,676.41,0.4313,0.3647,0.0067,0.5831
情景类别,故障原因诊断类,500,167,0.334,0.334,699.0,0.488,0.5,0.006,0.7609
情景类别,故障措施推荐类,500,0,0.0,0.0,603.53,0.3967,0.0,0.006,0.0
情景类别,风险影响评估类,500,226,0.452,0.4928,726.7,0.4093,0.5941,0.008,0.8698
题型,fmea_id_to_action,167,0,0.0,0.0,549.5,0.0,0.0,0.0,
题型,fmea_id_to_cause,167,2,0.012,0.012,719.66,0.024,0.0599,0.0,
题型,fmea_id_to_risk_profile,166,2,0.012,0.0633,729.01,0.006,0.1717,0.0,
题型,原因后果查建议措施,48,0,0.0,0.0,606.23,0.6042,0.0,0.0,0.0
题型,原因后果查风险指标,86,81,0.9419,0.9477,859.19,0.6357,0.9593,0.0,0.9593
题型,后果探测度查原因,105,60,0.5714,0.5714,717.96,0.6921,0.7429,0.0095,0.7429
题型,后果查措施,37,0,0.0,0.0,607.3,0.6847,0.0,0.0,0.0
题型,失效现象后果查RPN,68,51,0.75,0.75,466.94,0.6373,0.8971,0.0,
题型,失效现象后果查处置建议,37,0,0.0,0.0,590.56,0.6937,0.0,0.0,0.0
题型,失效现象查完整风险画像,47,24,0.5106,0.6043,1115.99,0.4894,0.7032,0.0426,0.7032
题型,失效现象风险分查措施,50,0,0.0,0.0,685.15,0.4867,0.0,0.04,
题型,项目原因查后果与RPN,1,1,1.0,1.0,733.82,0.3333,1.0,0.0,1.0
题型,项目失效现象发生度查原因,71,25,0.3521,0.3521,619.28,0.7136,0.5634,0.0,
题型,项目失效现象后果查原因,78,39,0.5,0.5,748.96,0.7992,0.7692,0.0256,
题型,项目失效现象查后果,64,34,0.5312,0.5312,608.19,0.6302,0.7188,0.0312,
题型,项目失效现象查后果与RPN,68,33,0.4853,0.5882,655.68,0.6176,0.6618,0.0,
题型,项目失效现象查措施,37,0,0.0,0.0,606.71,0.6126,0.0,0.027,
题型,项目失效现象查改进动作,37,0,0.0,0.0,692.4,0.6306,0.0,0.0,
题型,项目失效现象风险指标查原因,79,41,0.519,0.519,652.43,0.6878,0.7848,0.0,0.7848
题型,项目失效现象风险查措施,37,0,0.0,0.0,686.81,0.5946,0.0,0.0,
题型,风险画像查措施,50,0,0.0,0.0,576.89,0.52,0.0,0.0,
来源标签,原因到措施推理,48,0,0.0,0.0,606.23,0.6042,0.0,0.0,0.0
来源标签,后果与风险指标查询,68,33,0.4853,0.5882,655.68,0.6176,0.6618,0.0,
来源标签,后果到原因推理,105,60,0.5714,0.5714,717.96,0.6921,0.7429,0.0095,0.7429
来源标签,后果到措施推理,74,0,0.0,0.0,598.93,0.6892,0.0,0.0,0.0
来源标签,完整风险画像,47,24,0.5106,0.6043,1115.99,0.4894,0.7032,0.0426,0.7032
来源标签,故障原因查询,245,41,0.1673,0.1673,728.98,0.2708,0.2857,0.0082,
来源标签,故障措施查询,304,0,0.0,0.0,583.28,0.2401,0.0,0.0099,
来源标签,项目范围原因查询,150,66,0.44,0.44,636.74,0.7,0.68,0.0,0.7848
来源标签,项目范围措施查询,74,0,0.0,0.0,689.61,0.6126,0.0,0.0,
来源标签,项目范围风险评估,1,1,1.0,1.0,733.82,0.3333,1.0,0.0,1.0
来源标签,风险后果查询,230,36,0.1565,0.1935,695.39,0.1797,0.3239,0.0087,
来源标签,风险指标查询,154,132,0.8571,0.8604,685.99,0.6364,0.9318,0.0,0.9593
难度,中等,541,61,0.1128,0.1414,664.38,0.3087,0.219,0.0,
难度,困难,440,207,0.4705,0.4816,744.14,0.6477,0.5831,0.0068,0.5831
难度,简单,519,125,0.2408,0.2408,631.53,0.3757,0.3314,0.0135,
