分组维度,分类,题数,正确题数,完全准确率,平均部分准确率,平均耗时毫秒,上下文精确率,证据召回率,幻觉率,多跳路径覆盖率
模块标签,M1_编号直答,171,35,0.2047,0.2047,357.77,0.078,0.5731,0.0,
模块标签,M2_规则推理,21,9,0.4286,0.5,741.64,0.4286,0.7857,0.0,1.0
模块标签,M3_查询理解与语义检索增强,236,164,0.6949,0.6949,636.79,0.4223,0.7924,0.0042,
模块标签,M4_证据裁决,72,49,0.6806,0.6806,806.47,0.5741,0.5741,0.0,
情景类别,故障原因诊断类,98,74,0.7551,0.7551,753.37,0.4252,0.7653,0.0,
情景类别,故障措施推荐类,62,29,0.4677,0.4677,513.58,0.2473,0.5,0.0161,
情景类别,风险影响评估类,340,154,0.4529,0.4574,527.73,0.3127,0.6966,0.0,1.0
题型,action_code,21,2,0.0952,0.0952,301.01,0.0317,0.1429,0.0,
题型,action_colloquial,20,18,0.9,0.9,718.33,0.5333,0.95,0.0,
题型,action_mode,21,9,0.4286,0.4286,531.14,0.1905,0.4286,0.0476,
题型,cause_bool,24,19,0.7917,0.7917,651.85,0.4583,0.4583,0.0,
题型,cause_code,25,18,0.72,0.72,524.46,0.3066,0.88,0.0,
题型,cause_colloquial,24,17,0.7083,0.7083,882.28,0.5278,0.875,0.0,
题型,cause_mode,25,20,0.8,0.8,955.97,0.4133,0.84,0.0,
题型,d_code,25,3,0.12,0.12,291.83,0.04,0.44,0.0,
题型,effect_code,25,3,0.12,0.12,456.17,0.04,0.64,0.0,
题型,effect_colloquial,24,21,0.875,0.875,603.86,0.6389,1.0,0.0,
题型,effect_mode,25,12,0.48,0.48,616.86,0.2267,0.76,0.0,
题型,mode_project_bool,24,20,0.8333,0.8333,923.91,0.6806,0.6806,0.0,
题型,o_code,25,3,0.12,0.12,342.23,0.04,0.92,0.0,
题型,project_avg_rpn,7,3,0.4286,0.4286,994.4,0.4285,0.4286,0.0,
题型,project_top_effect,7,5,0.7143,0.7143,366.6,0.4286,1.0,0.0,1.0
题型,project_top_mode,7,1,0.1429,0.3571,863.93,0.4286,0.9286,0.0,
题型,risk_bool,24,10,0.4167,0.4167,843.65,0.5833,0.5833,0.0,
题型,risk_colloquial,24,22,0.9167,0.9167,578.45,0.6389,1.0,0.0,
题型,risk_mode_code,24,11,0.4583,0.4583,432.04,0.2083,0.4583,0.0,
题型,risk_mode_project,24,22,0.9167,0.9167,746.64,0.625,1.0,0.0,
题型,rpn_code,25,3,0.12,0.12,298.51,0.04,0.24,0.0,
题型,rpn_mode,25,12,0.48,0.48,304.1,0.2267,0.6,0.0,
题型,s_code,25,3,0.12,0.12,281.11,0.04,0.68,0.0,
来源标签,,500,257,0.514,0.517,570.2,0.3267,0.6857,0.002,1.0
难度,中等,113,87,0.7699,0.7832,703.46,0.5575,0.9248,0.0,1.0
难度,简单,387,170,0.4393,0.4393,531.29,0.2593,0.6158,0.0026,
