分组维度,分类,题数,正确题数,完全准确率,平均部分准确率,平均耗时毫秒,上下文精确率,证据召回率,幻觉率,多跳路径覆盖率
模块标签,,1500,1292,0.8613,0.8827,253.31,0.6464,0.9542,0.0493,0.9666
情景类别,故障原因诊断类,500,482,0.964,0.964,220.88,0.7573,1.0,0.076,1.0
情景类别,故障措施推荐类,500,438,0.876,0.876,277.86,0.5458,0.934,0.0,0.9672
情景类别,风险影响评估类,500,372,0.744,0.8081,261.19,0.636,0.9286,0.072,0.9201
题型,fmea_id_to_action,167,166,0.994,0.994,438.41,0.2994,1.0,0.0,
题型,fmea_id_to_cause,167,149,0.8922,0.8922,595.2,0.3064,1.0,0.0,
题型,fmea_id_to_risk_profile,166,105,0.6325,0.7816,680.45,0.1114,1.0,0.0,
题型,原因后果查建议措施,48,48,1.0,1.0,102.64,0.4236,1.0,0.0,1.0
题型,原因后果查风险指标,86,85,0.9884,0.9884,15.49,0.9942,0.9913,0.0,0.9913
题型,后果探测度查原因,105,105,1.0,1.0,44.27,0.973,1.0,0.0857,1.0
题型,后果查措施,37,37,1.0,1.0,12.93,1.0,1.0,0.0,1.0
题型,失效现象后果查RPN,68,43,0.6324,0.6324,6.98,0.9853,0.6324,0.0,
题型,失效现象后果查处置建议,37,21,0.5676,0.5676,134.83,0.482,0.8919,0.0,0.8919
题型,失效现象查完整风险画像,47,7,0.1489,0.2936,295.95,0.3156,0.7883,0.0,0.7883
题型,失效现象风险分查措施,50,24,0.48,0.48,324.07,0.3867,0.66,0.0,
题型,项目原因查后果与RPN,1,0,0.0,0.5,74.35,0.1667,1.0,0.0,1.0
题型,项目失效现象发生度查原因,71,71,1.0,1.0,14.69,1.0,1.0,0.1408,
题型,项目失效现象后果查原因,78,78,1.0,1.0,53.75,0.9658,1.0,0.2308,
题型,项目失效现象查后果,64,64,1.0,1.0,14.1,1.0,1.0,0.2812,
题型,项目失效现象查后果与RPN,68,68,1.0,1.0,13.96,1.0,1.0,0.2647,
题型,项目失效现象查措施,37,37,1.0,1.0,13.67,1.0,1.0,0.0,
题型,项目失效现象查改进动作,37,18,0.4865,0.4865,1010.36,0.5,0.6757,0.0,
题型,项目失效现象风险指标查原因,79,79,1.0,1.0,14.67,1.0,1.0,0.0127,1.0
题型,项目失效现象风险查措施,37,37,1.0,1.0,16.75,0.7,1.0,0.0,
题型,风险画像查措施,50,50,1.0,1.0,12.2,0.94,1.0,0.0,
来源标签,原因到措施推理,48,48,1.0,1.0,102.64,0.4236,1.0,0.0,1.0
来源标签,后果与风险指标查询,68,68,1.0,1.0,13.96,1.0,1.0,0.2647,
来源标签,后果到原因推理,105,105,1.0,1.0,44.27,0.973,1.0,0.0857,1.0
来源标签,后果到措施推理,74,58,0.7838,0.7838,73.88,0.741,0.9459,0.0,0.9459
来源标签,完整风险画像,47,7,0.1489,0.2936,295.95,0.3156,0.7883,0.0,0.7883
来源标签,故障原因查询,245,227,0.9265,0.9265,422.82,0.5163,1.0,0.0735,
来源标签,故障措施查询,304,277,0.9112,0.9112,297.81,0.5044,0.9441,0.0,
来源标签,项目范围原因查询,150,150,1.0,1.0,14.68,1.0,1.0,0.0733,1.0
来源标签,项目范围措施查询,74,55,0.7432,0.7432,513.56,0.6,0.8378,0.0,
来源标签,项目范围风险评估,1,0,0.0,0.5,74.35,0.1667,1.0,0.0,1.0
来源标签,风险后果查询,230,169,0.7348,0.8424,495.03,0.3587,1.0,0.0783,
来源标签,风险指标查询,154,128,0.8312,0.8312,11.73,0.9903,0.8328,0.0,0.9913
难度,中等,541,454,0.8392,0.8849,386.33,0.5235,0.9778,0.0518,
难度,困难,440,382,0.8682,0.8848,71.63,0.811,0.9666,0.0227,0.9666
难度,简单,519,456,0.8786,0.8786,268.68,0.6349,0.9191,0.0694,
