分组维度,分类,题数,正确题数,完全准确率,平均部分准确率,平均耗时毫秒,上下文精确率,证据召回率,幻觉率,多跳路径覆盖率
模块标签,,1500,1325,0.8833,0.887,45.53,0.8005,0.9212,0.0373,0.9383
情景类别,故障原因诊断类,500,499,0.998,0.998,18.04,0.9927,1.0,0.076,1.0
情景类别,故障措施推荐类,500,451,0.902,0.902,82.58,0.8456,0.942,0.0,0.8934
情景类别,风险影响评估类,500,375,0.75,0.761,35.97,0.5633,0.8217,0.036,0.8944
题型,fmea_id_to_action,167,167,1.0,1.0,2.86,1.0,1.0,0.0,
题型,fmea_id_to_cause,167,167,1.0,1.0,3.77,1.0,1.0,0.0,
题型,fmea_id_to_risk_profile,166,166,1.0,1.0,2.59,0.3855,1.0,0.0,
题型,原因后果查建议措施,48,42,0.875,0.875,100.53,0.5972,0.9792,0.0,0.9792
题型,原因后果查风险指标,86,85,0.9884,0.9884,14.7,0.9922,0.9884,0.0,0.9884
题型,后果探测度查原因,105,104,0.9905,0.9905,25.35,0.981,1.0,0.0857,1.0
题型,后果查措施,37,37,1.0,1.0,14.42,1.0,1.0,0.0,1.0
题型,失效现象后果查RPN,68,6,0.0882,0.0882,107.45,0.6078,0.8382,0.0,
题型,失效现象后果查处置建议,37,17,0.4595,0.4595,117.42,0.6216,0.6757,0.0,0.6757
题型,失效现象查完整风险画像,47,4,0.0851,0.1915,165.98,0.4823,0.7202,0.0,0.7202
题型,失效现象风险分查措施,50,50,1.0,1.0,13.53,0.6777,1.0,0.0,
题型,项目原因查后果与RPN,1,0,0.0,0.5,76.72,0.3333,1.0,0.0,1.0
题型,项目失效现象发生度查原因,71,71,1.0,1.0,13.44,1.0,1.0,0.1408,
题型,项目失效现象后果查原因,78,78,1.0,1.0,46.54,0.9786,1.0,0.2308,
题型,项目失效现象查后果,64,46,0.7188,0.7188,2.21,0.0,0.0,0.0,
题型,项目失效现象查后果与RPN,68,68,1.0,1.0,14.15,1.0,1.0,0.2647,
题型,项目失效现象查措施,37,37,1.0,1.0,14.09,1.0,1.0,0.0,
题型,项目失效现象查改进动作,37,14,0.3784,0.3784,778.88,0.6306,0.5676,0.0,
题型,项目失效现象风险指标查原因,79,79,1.0,1.0,14.48,1.0,1.0,0.0127,1.0
题型,项目失效现象风险查措施,37,37,1.0,1.0,12.29,0.7,1.0,0.0,
题型,风险画像查措施,50,50,1.0,1.0,12.7,0.94,1.0,0.0,
来源标签,原因到措施推理,48,42,0.875,0.875,100.53,0.5972,0.9792,0.0,0.9792
来源标签,后果与风险指标查询,68,68,1.0,1.0,14.15,1.0,1.0,0.2647,
来源标签,后果到原因推理,105,104,0.9905,0.9905,25.35,0.981,1.0,0.0857,1.0
来源标签,后果到措施推理,74,54,0.7297,0.7297,65.92,0.8108,0.8378,0.0,0.8378
来源标签,完整风险画像,47,4,0.0851,0.1915,165.98,0.4823,0.7202,0.0,0.7202
来源标签,故障原因查询,245,245,1.0,1.0,17.39,0.9932,1.0,0.0735,
来源标签,故障措施查询,304,304,1.0,1.0,7.6,0.9371,1.0,0.0,
来源标签,项目范围原因查询,150,150,1.0,1.0,13.99,1.0,1.0,0.0733,1.0
来源标签,项目范围措施查询,74,51,0.6892,0.6892,395.59,0.6653,0.7838,0.0,
来源标签,项目范围风险评估,1,0,0.0,0.5,76.72,0.3333,1.0,0.0,1.0
来源标签,风险后果查询,230,212,0.9217,0.9217,2.49,0.2783,0.7217,0.0,
来源标签,风险指标查询,154,91,0.5909,0.5909,55.65,0.8225,0.9221,0.0,0.9884
难度,中等,541,518,0.9575,0.9575,60.31,0.7601,0.9704,0.0518,
难度,困难,440,368,0.8364,0.8489,51.48,0.8614,0.9383,0.0227,0.9383
难度,简单,519,439,0.8459,0.8459,25.07,0.791,0.8555,0.0347,
