分组维度,分类,题数,正确题数,完全准确率,平均部分准确率,平均耗时毫秒,上下文精确率,证据召回率,幻觉率,多跳路径覆盖率
模块标签,,1500,1376,0.9173,0.9221,159.95,0.7894,0.9115,0.0387,0.9666
情景类别,故障原因诊断类,500,500,1.0,1.0,22.88,0.989,1.0,0.076,1.0
情景类别,故障措施推荐类,500,443,0.886,0.886,327.69,0.7801,0.934,0.0,0.9672
情景类别,风险影响评估类,500,433,0.866,0.8804,129.28,0.599,0.8006,0.04,0.9201
题型,fmea_id_to_action,167,167,1.0,1.0,2.89,1.0,1.0,0.0,
题型,fmea_id_to_cause,167,167,1.0,1.0,3.64,1.0,1.0,0.0,
题型,fmea_id_to_risk_profile,166,166,1.0,1.0,3.53,0.3855,1.0,0.0,
题型,原因后果查建议措施,48,44,0.9167,0.9167,959.83,0.4236,1.0,0.0,1.0
题型,原因后果查风险指标,86,85,0.9884,0.9884,26.02,0.9942,0.9913,0.0,0.9913
题型,后果探测度查原因,105,105,1.0,1.0,42.22,0.973,1.0,0.0857,1.0
题型,后果查措施,37,37,1.0,1.0,13.3,1.0,1.0,0.0,1.0
题型,失效现象后果查RPN,68,43,0.6324,0.6324,9.1,0.9853,0.6324,0.0,
题型,失效现象后果查处置建议,37,23,0.6216,0.6216,880.72,0.4865,0.8919,0.0,0.8919
题型,失效现象查完整风险画像,47,24,0.5106,0.6638,1255.67,0.3156,0.7883,0.0426,0.7883
题型,失效现象风险分查措施,50,30,0.6,0.6,916.17,0.3867,0.66,0.0,
题型,项目原因查后果与RPN,1,1,1.0,1.0,951.83,0.1667,1.0,0.0,1.0
题型,项目失效现象发生度查原因,71,71,1.0,1.0,13.98,1.0,1.0,0.1408,
题型,项目失效现象后果查原因,78,78,1.0,1.0,55.25,0.9658,1.0,0.2308,
题型,项目失效现象查后果,64,46,0.7188,0.7188,3.84,0.0,0.0,0.0,
题型,项目失效现象查后果与RPN,68,68,1.0,1.0,14.44,1.0,1.0,0.2647,
题型,项目失效现象查措施,37,37,1.0,1.0,14.48,1.0,1.0,0.0,
题型,项目失效现象查改进动作,37,18,0.4865,0.4865,996.52,0.5,0.6757,0.0,
题型,项目失效现象风险指标查原因,79,79,1.0,1.0,13.88,1.0,1.0,0.0127,1.0
题型,项目失效现象风险查措施,37,37,1.0,1.0,11.42,0.7,1.0,0.0,
题型,风险画像查措施,50,50,1.0,1.0,11.49,0.94,1.0,0.0,
来源标签,原因到措施推理,48,44,0.9167,0.9167,959.83,0.4236,1.0,0.0,1.0
来源标签,后果与风险指标查询,68,68,1.0,1.0,14.44,1.0,1.0,0.2647,
来源标签,后果到原因推理,105,105,1.0,1.0,42.22,0.973,1.0,0.0857,1.0
来源标签,后果到措施推理,74,60,0.8108,0.8108,447.01,0.7432,0.9459,0.0,0.9459
来源标签,完整风险画像,47,24,0.5106,0.6638,1255.67,0.3156,0.7883,0.0426,0.7883
来源标签,故障原因查询,245,245,1.0,1.0,20.07,0.9891,1.0,0.0735,
来源标签,故障措施查询,304,284,0.9342,0.9342,155.93,0.8893,0.9441,0.0,
来源标签,项目范围原因查询,150,150,1.0,1.0,13.93,1.0,1.0,0.0733,1.0
来源标签,项目范围措施查询,74,55,0.7432,0.7432,503.97,0.6,0.8378,0.0,
来源标签,项目范围风险评估,1,1,1.0,1.0,951.83,0.1667,1.0,0.0,1.0
来源标签,风险后果查询,230,212,0.9217,0.9217,3.62,0.2783,0.7217,0.0,
来源标签,风险指标查询,154,128,0.8312,0.8312,18.55,0.9903,0.8328,0.0,0.9913
难度,中等,541,522,0.9649,0.9649,75.41,0.7512,0.9778,0.0518,
难度,困难,440,398,0.9045,0.9209,333.83,0.8114,0.9666,0.0273,0.9666
难度,简单,519,456,0.8786,0.8786,100.66,0.8105,0.7958,0.0347,
