分组维度,分类,题数,正确题数,完全准确率,平均部分准确率,平均耗时毫秒,上下文精确率,证据召回率,幻觉率,多跳路径覆盖率
模块标签,,1500,571,0.3807,0.3921,705.75,0.4236,0.5036,0.004,0.7809
情景类别,故障原因诊断类,500,161,0.322,0.322,751.3,0.4667,0.47,0.008,0.7065
情景类别,故障措施推荐类,500,194,0.388,0.388,653.39,0.3913,0.452,0.004,0.8033
情景类别,风险影响评估类,500,216,0.432,0.4662,712.58,0.4127,0.5887,0.0,0.8627
题型,fmea_id_to_action,167,2,0.012,0.012,526.16,0.004,0.012,0.0,
题型,fmea_id_to_cause,167,5,0.0299,0.0299,855.31,0.0339,0.0778,0.012,
题型,fmea_id_to_risk_profile,166,4,0.0241,0.0527,715.33,0.006,0.1732,0.0,
题型,原因后果查建议措施,48,45,0.9375,0.9375,716.86,0.5972,0.9792,0.0,0.9792
题型,原因后果查风险指标,86,79,0.9186,0.9215,842.64,0.6046,0.939,0.0,0.939
题型,后果探测度查原因,105,57,0.5429,0.5429,712.91,0.6667,0.7048,0.0095,0.7048
题型,后果查措施,37,22,0.5946,0.5946,644.06,0.6396,0.7027,0.0,0.7027
题型,失效现象后果查RPN,68,44,0.6471,0.6471,486.87,0.6078,0.8382,0.0,
题型,失效现象后果查处置建议,37,20,0.5405,0.5405,664.6,0.6216,0.6757,0.027,0.6757
题型,失效现象查完整风险画像,47,21,0.4468,0.5872,1028.62,0.4823,0.7202,0.0,0.7202
题型,失效现象风险分查措施,50,25,0.5,0.5,762.04,0.52,0.56,0.0,
题型,项目原因查后果与RPN,1,1,1.0,1.0,773.0,0.3333,1.0,0.0,1.0
题型,项目失效现象发生度查原因,71,21,0.2958,0.2958,627.64,0.6244,0.5211,0.0,
题型,项目失效现象后果查原因,78,39,0.5,0.5,763.45,0.7692,0.7051,0.0128,
题型,项目失效现象查后果,64,31,0.4844,0.4844,617.04,0.6823,0.7344,0.0,
题型,项目失效现象查后果与RPN,68,36,0.5294,0.6103,637.66,0.6667,0.6765,0.0,
题型,项目失效现象查措施,37,15,0.4054,0.4054,750.05,0.6577,0.5676,0.027,
题型,项目失效现象查改进动作,37,14,0.3784,0.3784,766.67,0.6306,0.5676,0.0,
题型,项目失效现象风险指标查原因,79,39,0.4937,0.4937,681.61,0.6751,0.7089,0.0,0.7089
题型,项目失效现象风险查措施,37,23,0.6216,0.6216,735.38,0.5856,0.6757,0.0,
题型,风险画像查措施,50,28,0.56,0.56,691.3,0.4867,0.62,0.0,
来源标签,原因到措施推理,48,45,0.9375,0.9375,716.86,0.5972,0.9792,0.0,0.9792
来源标签,后果与风险指标查询,68,36,0.5294,0.6103,637.66,0.6667,0.6765,0.0,
来源标签,后果到原因推理,105,57,0.5429,0.5429,712.91,0.6667,0.7048,0.0095,0.7048
来源标签,后果到措施推理,74,42,0.5676,0.5676,654.33,0.6306,0.6892,0.0135,0.6892
来源标签,完整风险画像,47,21,0.4468,0.5872,1028.62,0.4823,0.7202,0.0,0.7202
来源标签,故障原因查询,245,44,0.1796,0.1796,826.07,0.268,0.2776,0.0122,
来源标签,故障措施查询,304,70,0.2303,0.2303,619.37,0.2478,0.2697,0.0033,
来源标签,项目范围原因查询,150,60,0.4,0.4,656.06,0.6511,0.62,0.0,0.7089
来源标签,项目范围措施查询,74,37,0.5,0.5,751.03,0.6081,0.6216,0.0,
来源标签,项目范围风险评估,1,1,1.0,1.0,773.0,0.3333,1.0,0.0,1.0
来源标签,风险后果查询,230,35,0.1522,0.1728,687.98,0.1942,0.3293,0.0,
来源标签,风险指标查询,154,123,0.7987,0.8003,685.55,0.6061,0.8945,0.0,0.939
难度,中等,541,128,0.2366,0.2555,690.22,0.3025,0.3637,0.0018,
难度,困难,440,284,0.6455,0.661,757.09,0.622,0.7809,0.0045,0.7809
难度,简单,519,159,0.3064,0.3064,678.43,0.3815,0.4143,0.0058,
