分组维度,分类,题数,正确题数,完全准确率,平均部分准确率,平均耗时毫秒,上下文精确率,证据召回率,幻觉率,多跳路径覆盖率
模块标签,M1_编号直答,100,3,0.03,0.0475,627.34,0.0,0.1475,0.01,
模块标签,M2_规则推理,100,47,0.47,0.4725,565.04,0.5233,0.6125,0.06,0.6125
模块标签,M3_自然语言检索,100,31,0.31,0.31,725.68,0.2967,0.52,0.0,
模块标签,M4_证据裁决,100,52,0.52,0.52,646.52,0.4667,0.4667,0.02,0.4667
情景类别,模块专项测试,400,133,0.3325,0.3375,641.14,0.3217,0.4367,0.0225,0.5396
题型,module_m1_action,20,0,0.0,0.0,644.75,0.0,0.0,0.0,
题型,module_m1_cause,20,0,0.0,0.0,645.18,0.0,0.1,0.0,
题型,module_m1_effect,20,3,0.15,0.15,491.34,0.0,0.25,0.0,
题型,module_m1_rpn,20,0,0.0,0.0,484.94,0.0,0.05,0.0,
题型,module_m1_sod,20,0,0.0,0.0875,870.5,0.0,0.3375,0.05,
题型,module_m2_avg_d,20,8,0.4,0.4,489.14,0.5333,0.65,0.05,0.65
题型,module_m2_avg_rpn,20,8,0.4,0.4,526.05,0.5333,0.5,0.25,0.5
题型,module_m2_max_mode,20,13,0.65,0.65,503.79,0.5333,0.75,0.0,0.75
题型,module_m2_min_mode,20,10,0.5,0.5,494.69,0.5333,0.55,0.0,0.55
题型,module_m2_mode_sod,20,8,0.4,0.4125,811.5,0.4833,0.6125,0.0,0.6125
题型,module_m3_action,20,0,0.0,0.0,597.85,0.0,0.0,0.0,
题型,module_m3_cause,20,9,0.45,0.45,927.57,0.2167,0.55,0.0,
题型,module_m3_cause2,20,8,0.4,0.4,883.9,0.2333,0.55,0.0,
题型,module_m3_effect,20,12,0.6,0.6,691.3,0.4333,0.6,0.0,
题型,module_m3_effect2,20,2,0.1,0.1,527.76,0.6,0.9,0.0,
题型,module_m4_bool_0,17,0,0.0,0.0,565.49,0.0,0.0,0.0,0.0
题型,module_m4_bool_1,17,12,0.7059,0.7059,668.44,0.7255,0.7255,0.1176,0.7255
题型,module_m4_bool_2,17,14,0.8235,0.8235,647.79,0.7059,0.7059,0.0,0.7059
题型,module_m4_bool_3,17,11,0.6471,0.6471,746.76,0.4706,0.4706,0.0,0.4706
题型,module_m4_bool_4,16,15,0.9375,0.9375,832.44,0.8958,0.8958,0.0,0.8958
题型,module_m4_bool_5,16,0,0.0,0.0,415.54,0.0,0.0,0.0,0.0
来源标签,module_m1_direct,100,3,0.03,0.0475,627.34,0.0,0.1475,0.01,
来源标签,module_m2_reasoning,100,47,0.47,0.4725,565.04,0.5233,0.6125,0.06,0.6125
来源标签,module_m3_colloquial,100,31,0.31,0.31,725.68,0.2967,0.52,0.0,
来源标签,module_m4_adjudication,100,52,0.52,0.52,646.52,0.4667,0.4667,0.02,0.4667
难度,中等,200,78,0.39,0.3912,645.36,0.41,0.5663,0.03,0.6125
难度,困难,100,52,0.52,0.52,646.52,0.4667,0.4667,0.02,0.4667
难度,简单,100,3,0.03,0.0475,627.34,0.0,0.1475,0.01,
