分组维度,分类,题数,正确题数,完全准确率,平均部分准确率,平均耗时毫秒,上下文精确率,证据召回率,幻觉率,多跳路径覆盖率
模块标签,M1_编号直答,100,94,0.94,0.94,571.49,0.2967,1.0,0.0,
模块标签,M2_规则推理,100,80,0.8,0.85,7.06,0.0836,0.85,0.0,0.85
模块标签,M3_自然语言检索,100,49,0.49,0.49,323.05,0.2517,0.75,0.0,
模块标签,M4_证据裁决,100,92,0.92,0.92,579.9,0.505,0.505,0.0,0.505
情景类别,模块专项测试,400,315,0.7875,0.8,370.38,0.2842,0.7762,0.0,0.6775
题型,module_m1_action,20,20,1.0,1.0,143.92,0.3167,1.0,0.0,
题型,module_m1_cause,20,14,0.7,0.7,577.91,0.3,1.0,0.0,
题型,module_m1_effect,20,20,1.0,1.0,396.25,0.2583,1.0,0.0,
题型,module_m1_rpn,20,20,1.0,1.0,765.83,0.325,1.0,0.0,
题型,module_m1_sod,20,20,1.0,1.0,973.55,0.2833,1.0,0.0,
题型,module_m2_avg_d,20,20,1.0,1.0,6.36,0.0,1.0,0.0,1.0
题型,module_m2_avg_rpn,20,20,1.0,1.0,6.82,0.0,1.0,0.0,1.0
题型,module_m2_max_mode,20,20,1.0,1.0,8.11,0.0,1.0,0.0,1.0
题型,module_m2_min_mode,20,20,1.0,1.0,7.05,0.0,1.0,0.0,1.0
题型,module_m2_mode_sod,20,0,0.0,0.25,6.96,0.4181,0.25,0.0,0.25
题型,module_m3_action,20,10,0.5,0.5,192.22,0.1667,0.7,0.0,
题型,module_m3_cause,20,10,0.5,0.5,795.69,0.1417,0.7,0.0,
题型,module_m3_cause2,20,6,0.3,0.3,193.98,0.1417,0.6,0.0,
题型,module_m3_effect,20,13,0.65,0.65,195.75,0.375,0.8,0.0,
题型,module_m3_effect2,20,10,0.5,0.5,237.61,0.4333,0.95,0.0,
题型,module_m4_bool_0,17,15,0.8824,0.8824,257.26,0.3137,0.3137,0.0,0.3137
题型,module_m4_bool_1,17,15,0.8824,0.8824,1012.47,0.7353,0.7353,0.0,0.7353
题型,module_m4_bool_2,17,17,1.0,1.0,102.79,0.5784,0.5784,0.0,0.5784
题型,module_m4_bool_3,17,16,0.9412,0.9412,969.9,0.6373,0.6373,0.0,0.6373
题型,module_m4_bool_4,16,13,0.8125,0.8125,1073.4,0.75,0.75,0.0,0.75
题型,module_m4_bool_5,16,16,1.0,1.0,62.18,0.0,0.0,0.0,0.0
来源标签,module_m1_direct,100,94,0.94,0.94,571.49,0.2967,1.0,0.0,
来源标签,module_m2_reasoning,100,80,0.8,0.85,7.06,0.0836,0.85,0.0,0.85
来源标签,module_m3_colloquial,100,49,0.49,0.49,323.05,0.2517,0.75,0.0,
来源标签,module_m4_adjudication,100,92,0.92,0.92,579.9,0.505,0.505,0.0,0.505
难度,中等,200,129,0.645,0.67,165.05,0.1677,0.8,0.0,0.85
难度,困难,100,92,0.92,0.92,579.9,0.505,0.505,0.0,0.505
难度,简单,100,94,0.94,0.94,571.49,0.2967,1.0,0.0,
