分组维度,分类,题数,正确题数,完全准确率,平均部分准确率,平均耗时毫秒,上下文精确率,证据召回率,幻觉率,多跳路径覆盖率
模块标签,M1_编号直答,100,100,1.0,1.0,3.63,1.0,1.0,0.0,
模块标签,M2_规则推理,100,54,0.54,0.5425,220.96,0.2427,0.5625,0.0,0.5625
模块标签,M3_自然语言检索,100,49,0.49,0.49,319.24,0.2517,0.75,0.0,
模块标签,M4_证据裁决,100,94,0.94,0.94,534.09,0.6217,0.6217,0.0,0.6217
情景类别,模块专项测试,400,297,0.7425,0.7431,269.48,0.5608,0.7335,0.0,0.5921
题型,module_m1_action,20,20,1.0,1.0,3.48,1.0,1.0,0.0,
题型,module_m1_cause,20,20,1.0,1.0,4.59,1.0,1.0,0.0,
题型,module_m1_effect,20,20,1.0,1.0,3.37,1.0,1.0,0.0,
题型,module_m1_rpn,20,20,1.0,1.0,3.36,1.0,1.0,0.0,
题型,module_m1_sod,20,20,1.0,1.0,3.37,1.0,1.0,0.0,
题型,module_m2_avg_d,20,20,1.0,1.0,65.18,0.0938,1.0,0.0,1.0
题型,module_m2_avg_rpn,20,20,1.0,1.0,66.07,0.1011,1.0,0.0,1.0
题型,module_m2_max_mode,20,0,0.0,0.0,6.44,,0.0,0.0,0.0
题型,module_m2_min_mode,20,0,0.0,0.0,4.65,,0.0,0.0,0.0
题型,module_m2_mode_sod,20,14,0.7,0.7125,962.47,0.5333,0.8125,0.0,0.8125
题型,module_m3_action,20,10,0.5,0.5,186.13,0.1667,0.7,0.0,
题型,module_m3_cause,20,10,0.5,0.5,800.2,0.1417,0.7,0.0,
题型,module_m3_cause2,20,6,0.3,0.3,182.94,0.1417,0.6,0.0,
题型,module_m3_effect,20,13,0.65,0.65,191.31,0.375,0.8,0.0,
题型,module_m3_effect2,20,10,0.5,0.5,235.6,0.4333,0.95,0.0,
题型,module_m4_bool_0,17,17,1.0,1.0,2.95,1.0,1.0,0.0,1.0
题型,module_m4_bool_1,17,15,0.8824,0.8824,999.21,0.7353,0.7353,0.0,0.7353
题型,module_m4_bool_2,17,17,1.0,1.0,109.72,0.5784,0.5784,0.0,0.5784
题型,module_m4_bool_3,17,16,0.9412,0.9412,964.34,0.6373,0.6373,0.0,0.6373
题型,module_m4_bool_4,16,13,0.8125,0.8125,1070.14,0.75,0.75,0.0,0.75
题型,module_m4_bool_5,16,16,1.0,1.0,61.93,0.0,0.0,0.0,0.0
来源标签,module_m1_direct,100,100,1.0,1.0,3.63,1.0,1.0,0.0,
来源标签,module_m2_reasoning,100,54,0.54,0.5425,220.96,0.2427,0.5625,0.0,0.5625
来源标签,module_m3_colloquial,100,49,0.49,0.49,319.24,0.2517,0.75,0.0,
来源标签,module_m4_adjudication,100,94,0.94,0.94,534.09,0.6217,0.6217,0.0,0.6217
难度,中等,200,103,0.515,0.5162,270.1,0.2483,0.6562,0.0,0.5625
难度,困难,100,94,0.94,0.94,534.09,0.6217,0.6217,0.0,0.6217
难度,简单,100,100,1.0,1.0,3.63,1.0,1.0,0.0,
