分组维度,分类,题数,正确题数,完全准确率,平均部分准确率,平均耗时毫秒,上下文精确率,证据召回率,幻觉率,多跳路径覆盖率
模块标签,M1_编号直答,100,100,1.0,1.0,3.55,1.0,1.0,0.0,
模块标签,M2_规则推理,100,80,0.8,0.85,7.68,0.0836,0.85,0.0,0.85
模块标签,M3_自然语言检索,100,39,0.39,0.39,186.69,0.3533,0.66,0.0,
模块标签,M4_证据裁决,100,94,0.94,0.94,411.05,0.62,0.62,0.0,0.62
情景类别,模块专项测试,400,313,0.7825,0.795,152.24,0.5142,0.7825,0.0,0.735
题型,module_m1_action,20,20,1.0,1.0,3.39,1.0,1.0,0.0,
题型,module_m1_cause,20,20,1.0,1.0,4.5,1.0,1.0,0.0,
题型,module_m1_effect,20,20,1.0,1.0,3.29,1.0,1.0,0.0,
题型,module_m1_rpn,20,20,1.0,1.0,3.28,1.0,1.0,0.0,
题型,module_m1_sod,20,20,1.0,1.0,3.29,1.0,1.0,0.0,
题型,module_m2_avg_d,20,20,1.0,1.0,5.95,0.0,1.0,0.0,1.0
题型,module_m2_avg_rpn,20,20,1.0,1.0,7.31,0.0,1.0,0.0,1.0
题型,module_m2_max_mode,20,20,1.0,1.0,9.34,0.0,1.0,0.0,1.0
题型,module_m2_min_mode,20,20,1.0,1.0,8.03,0.0,1.0,0.0,1.0
题型,module_m2_mode_sod,20,0,0.0,0.25,7.75,0.4181,0.25,0.0,0.25
题型,module_m3_action,20,7,0.35,0.35,153.16,0.2167,0.5,0.0,
题型,module_m3_cause,20,6,0.3,0.3,498.23,0.2166,0.6,0.0,
题型,module_m3_cause2,20,4,0.2,0.2,120.69,0.2333,0.55,0.0,
题型,module_m3_effect,20,11,0.55,0.55,62.55,0.4667,0.7,0.0,
题型,module_m3_effect2,20,11,0.55,0.55,98.82,0.6333,0.95,0.0,
题型,module_m4_bool_0,17,17,1.0,1.0,3.15,1.0,1.0,0.0,1.0
题型,module_m4_bool_1,17,12,0.7059,0.7059,707.81,0.7255,0.7255,0.0,0.7255
题型,module_m4_bool_2,17,17,1.0,1.0,63.38,0.6275,0.6275,0.0,0.6275
题型,module_m4_bool_3,17,17,1.0,1.0,807.9,0.4706,0.4706,0.0,0.4706
题型,module_m4_bool_4,16,15,0.9375,0.9375,825.43,0.875,0.875,0.0,0.875
题型,module_m4_bool_5,16,16,1.0,1.0,62.52,0.0,0.0,0.0,0.0
来源标签,module_m1_direct,100,100,1.0,1.0,3.55,1.0,1.0,0.0,
来源标签,module_m2_reasoning,100,80,0.8,0.85,7.68,0.0836,0.85,0.0,0.85
来源标签,module_m3_colloquial,100,39,0.39,0.39,186.69,0.3533,0.66,0.0,
来源标签,module_m4_adjudication,100,94,0.94,0.94,411.05,0.62,0.62,0.0,0.62
难度,中等,200,119,0.595,0.62,97.18,0.2185,0.755,0.0,0.85
难度,困难,100,94,0.94,0.94,411.05,0.62,0.62,0.0,0.62
难度,简单,100,100,1.0,1.0,3.55,1.0,1.0,0.0,
