分组维度,分类,题数,正确题数,完全准确率,平均部分准确率,平均耗时毫秒,上下文精确率,证据召回率,幻觉率,多跳路径覆盖率
模块标签,M1_编号直答,100,100,1.0,1.0,3.14,1.0,1.0,0.0,
模块标签,M2_规则推理,100,80,0.8,0.85,5.99,0.0836,0.85,0.0,0.85
模块标签,M3_自然语言检索,100,44,0.44,0.44,1016.02,0.2517,0.75,0.0,
模块标签,M4_证据裁决,100,77,0.77,0.77,756.05,0.6217,0.6217,0.0,0.6217
情景类别,模块专项测试,400,301,0.7525,0.765,445.3,0.4892,0.8054,0.0,0.7358
题型,module_m1_action,20,20,1.0,1.0,2.96,1.0,1.0,0.0,
题型,module_m1_cause,20,20,1.0,1.0,4.12,1.0,1.0,0.0,
题型,module_m1_effect,20,20,1.0,1.0,2.88,1.0,1.0,0.0,
题型,module_m1_rpn,20,20,1.0,1.0,2.86,1.0,1.0,0.0,
题型,module_m1_sod,20,20,1.0,1.0,2.86,1.0,1.0,0.0,
题型,module_m2_avg_d,20,20,1.0,1.0,4.81,0.0,1.0,0.0,1.0
题型,module_m2_avg_rpn,20,20,1.0,1.0,5.39,0.0,1.0,0.0,1.0
题型,module_m2_max_mode,20,20,1.0,1.0,7.25,0.0,1.0,0.0,1.0
题型,module_m2_min_mode,20,20,1.0,1.0,6.37,0.0,1.0,0.0,1.0
题型,module_m2_mode_sod,20,0,0.0,0.25,6.14,0.4181,0.25,0.0,0.25
题型,module_m3_action,20,10,0.5,0.5,944.28,0.1667,0.7,0.0,
题型,module_m3_cause,20,12,0.6,0.6,1348.14,0.1417,0.7,0.0,
题型,module_m3_cause2,20,8,0.4,0.4,1161.65,0.1417,0.6,0.0,
题型,module_m3_effect,20,14,0.7,0.7,890.79,0.375,0.8,0.0,
题型,module_m3_effect2,20,0,0.0,0.0,735.24,0.4333,0.95,0.0,
题型,module_m4_bool_0,17,17,1.0,1.0,4.25,1.0,1.0,0.0,1.0
题型,module_m4_bool_1,17,14,0.8235,0.8235,1007.43,0.7353,0.7353,0.0,0.7353
题型,module_m4_bool_2,17,17,1.0,1.0,849.0,0.5784,0.5784,0.0,0.5784
题型,module_m4_bool_3,17,16,0.9412,0.9412,979.95,0.6373,0.6373,0.0,0.6373
题型,module_m4_bool_4,16,13,0.8125,0.8125,1088.14,0.75,0.75,0.0,0.75
题型,module_m4_bool_5,16,0,0.0,0.0,619.04,0.0,0.0,0.0,0.0
来源标签,module_m1_direct,100,100,1.0,1.0,3.14,1.0,1.0,0.0,
来源标签,module_m2_reasoning,100,80,0.8,0.85,5.99,0.0836,0.85,0.0,0.85
来源标签,module_m3_colloquial,100,44,0.44,0.44,1016.02,0.2517,0.75,0.0,
来源标签,module_m4_adjudication,100,77,0.77,0.77,756.05,0.6217,0.6217,0.0,0.6217
难度,中等,200,124,0.62,0.645,511.01,0.1677,0.8,0.0,0.85
难度,困难,100,77,0.77,0.77,756.05,0.6217,0.6217,0.0,0.6217
难度,简单,100,100,1.0,1.0,3.14,1.0,1.0,0.0,
