分组维度,分类,题数,正确题数,完全准确率,平均部分准确率,平均耗时毫秒,上下文精确率,证据召回率,幻觉率,多跳路径覆盖率
模块标签,M1_编号直答,100,100,1.0,1.0,3.96,1.0,1.0,0.0,
模块标签,M2_规则推理,100,80,0.8,0.85,8.77,0.0836,0.85,0.0,0.85
模块标签,M3_自然语言检索,100,49,0.49,0.49,319.09,0.2517,0.75,0.0,
模块标签,M4_证据裁决,100,93,0.93,0.93,536.22,0.6217,0.6217,0.0,0.6217
情景类别,模块专项测试,400,322,0.805,0.8175,217.01,0.4892,0.8054,0.0,0.7358
题型,module_m1_action,20,20,1.0,1.0,3.79,1.0,1.0,0.0,
题型,module_m1_cause,20,20,1.0,1.0,4.92,1.0,1.0,0.0,
题型,module_m1_effect,20,20,1.0,1.0,3.72,1.0,1.0,0.0,
题型,module_m1_rpn,20,20,1.0,1.0,3.68,1.0,1.0,0.0,
题型,module_m1_sod,20,20,1.0,1.0,3.68,1.0,1.0,0.0,
题型,module_m2_avg_d,20,20,1.0,1.0,6.46,0.0,1.0,0.0,1.0
题型,module_m2_avg_rpn,20,20,1.0,1.0,8.83,0.0,1.0,0.0,1.0
题型,module_m2_max_mode,20,20,1.0,1.0,11.01,0.0,1.0,0.0,1.0
题型,module_m2_min_mode,20,20,1.0,1.0,9.1,0.0,1.0,0.0,1.0
题型,module_m2_mode_sod,20,0,0.0,0.25,8.43,0.4181,0.25,0.0,0.25
题型,module_m3_action,20,10,0.5,0.5,187.06,0.1667,0.7,0.0,
题型,module_m3_cause,20,10,0.5,0.5,794.43,0.1417,0.7,0.0,
题型,module_m3_cause2,20,6,0.3,0.3,183.9,0.1417,0.6,0.0,
题型,module_m3_effect,20,13,0.65,0.65,196.09,0.375,0.8,0.0,
题型,module_m3_effect2,20,10,0.5,0.5,233.99,0.4333,0.95,0.0,
题型,module_m4_bool_0,17,17,1.0,1.0,3.05,1.0,1.0,0.0,1.0
题型,module_m4_bool_1,17,14,0.8235,0.8235,1005.55,0.7353,0.7353,0.0,0.7353
题型,module_m4_bool_2,17,17,1.0,1.0,108.56,0.5784,0.5784,0.0,0.5784
题型,module_m4_bool_3,17,16,0.9412,0.9412,965.01,0.6373,0.6373,0.0,0.6373
题型,module_m4_bool_4,16,13,0.8125,0.8125,1078.55,0.75,0.75,0.0,0.75
题型,module_m4_bool_5,16,16,1.0,1.0,60.49,0.0,0.0,0.0,0.0
来源标签,module_m1_direct,100,100,1.0,1.0,3.96,1.0,1.0,0.0,
来源标签,module_m2_reasoning,100,80,0.8,0.85,8.77,0.0836,0.85,0.0,0.85
来源标签,module_m3_colloquial,100,49,0.49,0.49,319.09,0.2517,0.75,0.0,
来源标签,module_m4_adjudication,100,93,0.93,0.93,536.22,0.6217,0.6217,0.0,0.6217
难度,中等,200,129,0.645,0.67,163.93,0.1677,0.8,0.0,0.85
难度,困难,100,93,0.93,0.93,536.22,0.6217,0.6217,0.0,0.6217
难度,简单,100,100,1.0,1.0,3.96,1.0,1.0,0.0,
