模型,模型编号,模块,模块名称,题数,正确题数,完全准确率,平均部分准确率,平均耗时毫秒,上下文精确率,证据召回率,幻觉率,多跳路径覆盖率
baseline模型,baseline,M1,M1_编号直答,100,3,0.03,0.0475,627.34,0.0,0.1475,0.01,
baseline模型,baseline,M2,M2_规则推理,100,47,0.47,0.4725,565.04,0.5233,0.6125,0.06,0.6125
baseline模型,baseline,M3,M3_自然语言检索,100,31,0.31,0.31,725.68,0.2967,0.52,0,
baseline模型,baseline,M4,M4_证据裁决,100,52,0.52,0.52,646.52,0.4667,0.4667,0.02,0.4667
Full全量模型,Full,M1,M1_编号直答,100,100,1.0,1.0,3.96,1.0,1.0,0,
Full全量模型,Full,M2,M2_规则推理,100,80,0.8,0.85,8.77,0.0836,0.85,0,0.85
Full全量模型,Full,M3,M3_自然语言检索,100,49,0.49,0.49,319.09,0.2517,0.75,0,
Full全量模型,Full,M4,M4_证据裁决,100,93,0.93,0.93,536.22,0.6217,0.6217,0,0.6217
Full-M1去除CSV直答模块,Full-M1,M1,M1_编号直答,100,94,0.94,0.94,571.49,0.2967,1.0,0,
Full-M1去除CSV直答模块,Full-M1,M2,M2_规则推理,100,80,0.8,0.85,7.06,0.0836,0.85,0,0.85
Full-M1去除CSV直答模块,Full-M1,M3,M3_自然语言检索,100,49,0.49,0.49,323.05,0.2517,0.75,0,
Full-M1去除CSV直答模块,Full-M1,M4,M4_证据裁决,100,92,0.92,0.92,579.9,0.505,0.505,0,0.505
Full-M2去除确定性规则问答模块,Full-M2,M1,M1_编号直答,100,100,1.0,1.0,3.63,1.0,1.0,0,
Full-M2去除确定性规则问答模块,Full-M2,M2,M2_规则推理,100,54,0.54,0.5425,220.96,0.2427,0.5625,0,0.5625
Full-M2去除确定性规则问答模块,Full-M2,M3,M3_自然语言检索,100,49,0.49,0.49,319.24,0.2517,0.75,0,
Full-M2去除确定性规则问答模块,Full-M2,M4,M4_证据裁决,100,94,0.94,0.94,534.09,0.6217,0.6217,0,0.6217
Full-M3去除查询理解与检索增强模块,Full-M3,M1,M1_编号直答,100,100,1.0,1.0,3.55,1.0,1.0,0,
Full-M3去除查询理解与检索增强模块,Full-M3,M2,M2_规则推理,100,80,0.8,0.85,7.68,0.0836,0.85,0,0.85
Full-M3去除查询理解与检索增强模块,Full-M3,M3,M3_自然语言检索,100,39,0.39,0.39,186.69,0.3533,0.66,0,
Full-M3去除查询理解与检索增强模块,Full-M3,M4,M4_证据裁决,100,94,0.94,0.94,411.05,0.62,0.62,0,0.62
Full-M4去除证据检查与路由裁决模块,Full-M4,M1,M1_编号直答,100,100,1.0,1.0,3.14,1.0,1.0,0,
Full-M4去除证据检查与路由裁决模块,Full-M4,M2,M2_规则推理,100,80,0.8,0.85,5.99,0.0836,0.85,0,0.85
Full-M4去除证据检查与路由裁决模块,Full-M4,M3,M3_自然语言检索,100,44,0.44,0.44,1016.02,0.2517,0.75,0,
Full-M4去除证据检查与路由裁决模块,Full-M4,M4,M4_证据裁决,100,77,0.77,0.77,756.05,0.6217,0.6217,0,0.6217
