分组维度,分类,题数,正确题数,完全准确率,平均部分准确率,平均耗时毫秒,上下文精确率,证据召回率,幻觉率,多跳路径覆盖率
模块标签,M1_编号直答,171,162,0.9474,0.9474,429.54,0.4474,1.0,0.0,
模块标签,M2_规则推理,21,21,1.0,1.0,31.17,0.0701,1.0,0.0,1.0
模块标签,M3_查询理解与语义检索增强,236,207,0.8771,0.8771,269.31,0.5982,0.928,0.0,
模块标签,M4_证据裁决,72,68,0.9444,0.9444,868.67,0.5648,0.5648,0.0,
情景类别,故障原因诊断类,98,96,0.9796,0.9796,704.26,0.3061,0.8452,0.0,
情景类别,故障措施推荐类,62,62,1.0,1.0,82.64,0.8145,1.0,0.0,
情景类别,风险影响评估类,340,300,0.8824,0.8824,370.78,0.5274,0.9025,0.0,1.0
题型,action_code,21,21,1.0,1.0,228.41,0.4524,1.0,0.0,
题型,action_colloquial,20,20,1.0,1.0,7.38,1.0,1.0,0.0,
题型,action_mode,21,21,1.0,1.0,8.56,1.0,1.0,0.0,
题型,cause_bool,24,24,1.0,1.0,944.27,0.4514,0.4514,0.0,
题型,cause_code,25,25,1.0,1.0,901.36,0.4467,1.0,0.0,
题型,cause_colloquial,24,22,0.9167,0.9167,985.09,0.3333,0.9167,0.0,
题型,cause_mode,25,25,1.0,1.0,7.14,0.0,1.0,0.0,
题型,d_code,25,24,0.96,0.96,284.35,0.4467,1.0,0.0,
题型,effect_code,25,25,1.0,1.0,472.36,0.4467,1.0,0.0,
题型,effect_colloquial,24,24,1.0,1.0,8.16,1.0,1.0,0.0,
题型,effect_mode,25,15,0.6,0.6,341.29,0.1533,0.84,0.0,
题型,mode_project_bool,24,20,0.8333,0.8333,1059.96,0.5139,0.5139,0.0,
题型,o_code,25,21,0.84,0.84,286.48,0.4467,1.0,0.0,
题型,project_avg_rpn,7,7,1.0,1.0,14.55,0.0,1.0,0.0,
题型,project_top_effect,7,7,1.0,1.0,67.39,0.2103,1.0,0.0,1.0
题型,project_top_mode,7,7,1.0,1.0,11.57,0.0,1.0,0.0,
题型,risk_bool,24,24,1.0,1.0,601.77,0.7292,0.7292,0.0,
题型,risk_colloquial,24,19,0.7917,0.7917,583.24,0.5,1.0,0.0,
题型,risk_mode_code,24,12,0.5,0.5,679.02,0.1389,0.5417,0.0,
题型,risk_mode_project,24,24,1.0,1.0,8.02,1.0,1.0,0.0,
题型,rpn_code,25,24,0.96,0.96,512.23,0.4467,1.0,0.0,
题型,rpn_mode,25,25,1.0,1.0,7.75,1.0,1.0,0.0,
题型,s_code,25,22,0.88,0.88,289.41,0.4467,1.0,0.0,
来源标签,,500,458,0.916,0.916,400.41,0.5196,0.9033,0.0,1.0
难度,中等,113,106,0.9381,0.9381,341.93,0.5794,0.9823,0.0,1.0
难度,简单,387,352,0.9096,0.9096,417.49,0.5022,0.8803,0.0,
