分组维度,分类,题数,正确题数,完全准确率,平均部分准确率,平均耗时毫秒,上下文精确率,证据召回率,幻觉率,多跳路径覆盖率
模块标签,M1_编号直答,171,171,1.0,1.0,211.61,0.7573,1.0,0.0,
模块标签,M2_规则推理,21,14,0.6667,0.6667,46.19,0.2329,0.6667,0.0,1.0
模块标签,M3_查询理解与语义检索增强,236,224,0.9492,0.9492,219.4,0.3206,0.4788,0.0,
模块标签,M4_证据裁决,72,68,0.9444,0.9444,316.65,0.838,0.838,0.0,
情景类别,故障原因诊断类,98,96,0.9796,0.9796,274.4,0.5816,0.7245,0.0,
情景类别,故障措施推荐类,62,57,0.9194,0.9194,208.28,0.4624,0.6452,0.0,
情景类别,风险影响评估类,340,324,0.9529,0.9529,211.55,0.5498,0.7275,0.0,1.0
题型,action_code,21,21,1.0,1.0,4.53,1.0,1.0,0.0,
题型,action_colloquial,20,15,0.75,0.75,637.16,0.3833,0.95,0.0,
题型,action_mode,21,21,1.0,1.0,3.58,0.0,0.0,0.0,
题型,cause_bool,24,24,1.0,1.0,3.87,1.0,1.0,0.0,
题型,cause_code,25,25,1.0,1.0,3.55,1.0,1.0,0.0,
题型,cause_colloquial,24,22,0.9167,0.9167,1109.04,0.3333,0.9167,0.0,
题型,cause_mode,25,25,1.0,1.0,3.72,0.0,0.0,0.0,
题型,d_code,25,25,1.0,1.0,280.82,0.4467,1.0,0.0,
题型,effect_code,25,25,1.0,1.0,3.3,1.0,1.0,0.0,
题型,effect_colloquial,24,24,1.0,1.0,11.19,1.0,1.0,0.0,
题型,effect_mode,25,25,1.0,1.0,3.55,0.0,0.0,0.0,
题型,mode_project_bool,24,20,0.8333,0.8333,942.59,0.5139,0.5139,0.0,
题型,o_code,25,25,1.0,1.0,280.61,0.4467,1.0,0.0,
题型,project_avg_rpn,7,7,1.0,1.0,73.0,0.2554,1.0,0.0,
题型,project_top_effect,7,7,1.0,1.0,58.84,0.2103,1.0,0.0,1.0
题型,project_top_mode,7,0,0.0,0.0,6.74,,0.0,0.0,
题型,risk_bool,24,24,1.0,1.0,3.48,1.0,1.0,0.0,
题型,risk_colloquial,24,19,0.7917,0.7917,479.68,0.5,1.0,0.0,
题型,risk_mode_code,24,24,1.0,1.0,3.95,0.0,0.0,0.0,
题型,risk_mode_project,24,24,1.0,1.0,8.26,1.0,1.0,0.0,
题型,rpn_code,25,25,1.0,1.0,3.27,1.0,1.0,0.0,
题型,rpn_mode,25,25,1.0,1.0,3.5,0.0,0.0,0.0,
题型,s_code,25,25,1.0,1.0,872.05,0.4467,1.0,0.0,
来源标签,,500,477,0.954,0.954,223.46,0.5452,0.7167,0.0,1.0
难度,中等,113,94,0.8319,0.8319,461.16,0.5182,0.9115,0.0,1.0
难度,简单,387,383,0.9897,0.9897,154.06,0.5525,0.6598,0.0,
