分组维度,分类,题数,正确题数,完全准确率,平均部分准确率,平均耗时毫秒,上下文精确率,证据召回率,幻觉率,多跳路径覆盖率
模块标签,M1_编号直答,171,171,1.0,1.0,3.36,1.0,1.0,0.0,
模块标签,M2_规则推理,21,15,0.7143,0.7143,30.61,0.1429,1.0,0.0,1.0
模块标签,M3_查询理解与语义检索增强,236,228,0.9661,0.9661,129.17,0.4068,0.4788,0.0,
模块标签,M4_证据裁决,72,68,0.9444,0.9444,197.39,0.8935,0.8935,0.0,
情景类别,故障原因诊断类,98,93,0.949,0.949,164.23,0.6293,0.7143,0.0,
情景类别,故障措施推荐类,62,62,1.0,1.0,4.94,0.6613,0.6613,0.0,
情景类别,风险影响评估类,340,327,0.9618,0.9618,86.8,0.6814,0.7598,0.0,1.0
题型,action_code,21,21,1.0,1.0,3.39,1.0,1.0,0.0,
题型,action_colloquial,20,20,1.0,1.0,8.37,1.0,1.0,0.0,
题型,action_mode,21,21,1.0,1.0,3.22,0.0,0.0,0.0,
题型,cause_bool,24,24,1.0,1.0,4.05,1.0,1.0,0.0,
题型,cause_code,25,25,1.0,1.0,3.48,1.0,1.0,0.0,
题型,cause_colloquial,24,19,0.7917,0.7917,659.46,0.5278,0.875,0.0,
题型,cause_mode,25,25,1.0,1.0,3.34,0.0,0.0,0.0,
题型,d_code,25,25,1.0,1.0,3.35,1.0,1.0,0.0,
题型,effect_code,25,25,1.0,1.0,3.25,1.0,1.0,0.0,
题型,effect_colloquial,24,24,1.0,1.0,11.64,1.0,1.0,0.0,
题型,effect_mode,25,25,1.0,1.0,3.21,0.0,0.0,0.0,
题型,mode_project_bool,24,20,0.8333,0.8333,584.75,0.6806,0.6806,0.0,
题型,o_code,25,25,1.0,1.0,3.43,1.0,1.0,0.0,
题型,project_avg_rpn,7,7,1.0,1.0,14.87,0.0,1.0,0.0,
题型,project_top_effect,7,1,0.1429,0.1429,64.98,0.4286,1.0,0.0,1.0
题型,project_top_mode,7,7,1.0,1.0,11.99,0.0,1.0,0.0,
题型,risk_bool,24,24,1.0,1.0,3.36,1.0,1.0,0.0,
题型,risk_colloquial,24,21,0.875,0.875,566.89,0.6389,1.0,0.0,
题型,risk_mode_code,24,24,1.0,1.0,3.9,0.0,0.0,0.0,
题型,risk_mode_project,24,24,1.0,1.0,8.33,1.0,1.0,0.0,
题型,rpn_code,25,25,1.0,1.0,3.31,1.0,1.0,0.0,
题型,rpn_mode,25,25,1.0,1.0,3.18,0.0,0.0,0.0,
题型,s_code,25,25,1.0,1.0,3.33,1.0,1.0,0.0,
来源标签,,500,482,0.964,0.964,91.83,0.6687,0.7387,0.0,1.0
难度,中等,113,99,0.8761,0.8761,270.11,0.6637,0.9735,0.0,1.0
难度,简单,387,383,0.9897,0.9897,39.77,0.6701,0.6701,0.0,
