分组维度,分类,题数,正确题数,完全准确率,平均部分准确率,平均耗时毫秒,上下文精确率,证据召回率,幻觉率,多跳路径覆盖率
模块标签,M1_编号直答,171,171,1.0,1.0,210.4,0.7573,1.0,0.0,
模块标签,M2_规则推理,21,21,1.0,1.0,517.91,0.0701,1.0,0.0,1.0
模块标签,M3_查询理解与语义检索增强,236,231,0.9788,0.9788,211.2,0.3729,0.4831,0.0,
模块标签,M4_证据裁决,72,67,0.9306,0.9306,300.48,0.838,0.838,0.0,
情景类别,故障原因诊断类,98,97,0.9898,0.9898,268.9,0.5816,0.7347,0.0,
情景类别,故障措施推荐类,62,62,1.0,1.0,5.65,0.6613,0.6613,0.0,
情景类别,风险影响评估类,340,331,0.9735,0.9735,269.5,0.5333,0.7451,0.0,1.0
题型,action_code,21,21,1.0,1.0,4.65,1.0,1.0,0.0,
题型,action_colloquial,20,20,1.0,1.0,8.74,1.0,1.0,0.0,
题型,action_mode,21,21,1.0,1.0,3.7,0.0,0.0,0.0,
题型,cause_bool,24,24,1.0,1.0,4.09,1.0,1.0,0.0,
题型,cause_code,25,25,1.0,1.0,3.64,1.0,1.0,0.0,
题型,cause_colloquial,24,23,0.9583,0.9583,1085.98,0.3333,0.9583,0.0,
题型,cause_mode,25,25,1.0,1.0,3.97,0.0,0.0,0.0,
题型,d_code,25,25,1.0,1.0,285.95,0.4467,1.0,0.0,
题型,effect_code,25,25,1.0,1.0,3.32,1.0,1.0,0.0,
题型,effect_colloquial,24,24,1.0,1.0,11.58,1.0,1.0,0.0,
题型,effect_mode,25,25,1.0,1.0,3.68,0.0,0.0,0.0,
题型,mode_project_bool,24,19,0.7917,0.7917,893.89,0.5139,0.5139,0.0,
题型,o_code,25,25,1.0,1.0,284.08,0.4467,1.0,0.0,
题型,project_avg_rpn,7,7,1.0,1.0,13.57,0.0,1.0,0.0,
题型,project_top_effect,7,7,1.0,1.0,1528.07,0.2103,1.0,0.0,1.0
题型,project_top_mode,7,7,1.0,1.0,12.09,0.0,1.0,0.0,
题型,risk_bool,24,24,1.0,1.0,3.47,1.0,1.0,0.0,
题型,risk_colloquial,24,20,0.8333,0.8333,944.53,0.5,0.9583,0.0,
题型,risk_mode_code,24,24,1.0,1.0,3.99,0.0,0.0,0.0,
题型,risk_mode_project,24,24,1.0,1.0,8.47,1.0,1.0,0.0,
题型,rpn_code,25,25,1.0,1.0,3.31,1.0,1.0,0.0,
题型,rpn_mode,25,25,1.0,1.0,3.63,0.0,0.0,0.0,
题型,s_code,25,25,1.0,1.0,854.9,0.4467,1.0,0.0,
来源标签,,500,490,0.98,0.98,236.67,0.5586,0.7327,0.0,1.0
难度,中等,113,108,0.9558,0.9558,531.51,0.5794,0.9823,0.0,1.0
难度,简单,387,382,0.9871,0.9871,150.57,0.5525,0.6598,0.0,
