分组维度,分类,题数,正确题数,完全准确率,平均部分准确率,平均耗时毫秒,上下文精确率,证据召回率,幻觉率,多跳路径覆盖率
模块标签,M1_编号直答,171,171,1.0,1.0,211.9,0.7573,1.0,0.0,
模块标签,M2_规则推理,21,21,1.0,1.0,37.35,0.0701,1.0,0.0,1.0
模块标签,M3_查询理解与语义检索增强,236,229,0.9703,0.9703,175.54,0.3729,0.4831,0.0,
模块标签,M4_证据裁决,72,68,0.9444,0.9444,314.88,0.838,0.838,0.0,
情景类别,故障原因诊断类,98,96,0.9796,0.9796,271.89,0.5816,0.7245,0.0,
情景类别,故障措施推荐类,62,62,1.0,1.0,5.56,0.6613,0.6613,0.0,
情景类别,风险影响评估类,340,331,0.9735,0.9735,218.03,0.5333,0.748,0.0,1.0
题型,action_code,21,21,1.0,1.0,4.67,1.0,1.0,0.0,
题型,action_colloquial,20,20,1.0,1.0,8.44,1.0,1.0,0.0,
题型,action_mode,21,21,1.0,1.0,3.71,0.0,0.0,0.0,
题型,cause_bool,24,24,1.0,1.0,3.96,1.0,1.0,0.0,
题型,cause_code,25,25,1.0,1.0,3.62,1.0,1.0,0.0,
题型,cause_colloquial,24,22,0.9167,0.9167,1098.32,0.3333,0.9167,0.0,
题型,cause_mode,25,25,1.0,1.0,3.98,0.0,0.0,0.0,
题型,d_code,25,25,1.0,1.0,281.58,0.4467,1.0,0.0,
题型,effect_code,25,25,1.0,1.0,3.34,1.0,1.0,0.0,
题型,effect_colloquial,24,24,1.0,1.0,11.49,1.0,1.0,0.0,
题型,effect_mode,25,25,1.0,1.0,3.69,0.0,0.0,0.0,
题型,mode_project_bool,24,20,0.8333,0.8333,937.2,0.5139,0.5139,0.0,
题型,o_code,25,25,1.0,1.0,281.76,0.4467,1.0,0.0,
题型,project_avg_rpn,7,7,1.0,1.0,19.45,0.0,1.0,0.0,
题型,project_top_effect,7,7,1.0,1.0,74.57,0.2103,1.0,0.0,1.0
题型,project_top_mode,7,7,1.0,1.0,18.02,0.0,1.0,0.0,
题型,risk_bool,24,24,1.0,1.0,3.49,1.0,1.0,0.0,
题型,risk_colloquial,24,19,0.7917,0.7917,581.43,0.5,1.0,0.0,
题型,risk_mode_code,24,24,1.0,1.0,4.11,0.0,0.0,0.0,
题型,risk_mode_project,24,24,1.0,1.0,8.75,1.0,1.0,0.0,
题型,rpn_code,25,25,1.0,1.0,3.32,1.0,1.0,0.0,
题型,rpn_mode,25,25,1.0,1.0,3.66,0.0,0.0,0.0,
题型,s_code,25,25,1.0,1.0,871.87,0.4467,1.0,0.0,
来源标签,,500,489,0.978,0.978,202.24,0.5586,0.7327,0.0,1.0
难度,中等,113,106,0.9381,0.9381,367.64,0.5794,0.9823,0.0,1.0
难度,简单,387,383,0.9897,0.9897,153.94,0.5525,0.6598,0.0,
