分组维度,分类,题数,正确题数,完全准确率,平均部分准确率,平均耗时毫秒,上下文精确率,证据召回率,幻觉率,多跳路径覆盖率
模块标签,M1_编号直答,50,7,0.14,0.175,585.58,0.1267,0.449,0.0,
模块标签,M2_规则推理,50,19,0.38,0.38,682.98,0.3933,0.64,0.0,
模块标签,M3_查询理解与语义检索增强,50,28,0.56,0.56,728.72,0.3867,0.74,0.0,
模块标签,M4_证据裁决,50,28,0.56,0.56,724.56,0.4133,0.4133,0.08,
情景类别,模块专项测试,200,82,0.41,0.4188,680.46,0.33,0.5611,0.02,
题型,module_m1_action,10,1,0.1,0.1,685.48,0.1333,0.3333,0.0,
题型,module_m1_cause,10,2,0.2,0.2,621.2,0.2,0.4,0.0,
题型,module_m1_effect,10,2,0.2,0.2,477.34,0.3,0.5,0.0,
题型,module_m1_rpn,10,1,0.1,0.1,514.42,0.0,0.4,0.0,
题型,module_m1_sod,10,1,0.1,0.275,629.46,0.0,0.6,0.0,
题型,module_m2_avg_d,10,6,0.6,0.6,479.45,0.4666,0.8,0.0,
题型,module_m2_avg_rpn,10,4,0.4,0.4,494.65,0.4,0.4,0.0,
题型,module_m2_avg_s,10,3,0.3,0.3,693.04,0.4,0.7,0.0,
题型,module_m2_max_mode,10,6,0.6,0.6,864.54,0.4667,0.9,0.0,
题型,module_m2_min_mode,10,0,0.0,0.0,883.21,0.2333,0.4,0.0,
题型,module_m3_action,10,4,0.4,0.4,836.01,0.1667,0.4,0.0,
题型,module_m3_cause,10,5,0.5,0.5,717.05,0.3333,0.7,0.0,
题型,module_m3_cause2,10,4,0.4,0.4,824.39,0.4333,0.9,0.0,
题型,module_m3_effect,10,7,0.7,0.7,503.12,0.3666,0.9,0.0,
题型,module_m3_effect2,10,8,0.8,0.8,763.05,0.6333,0.8,0.0,
题型,module_m4_bool_0,10,2,0.2,0.2,586.03,0.0,0.0,0.0,
题型,module_m4_bool_1,10,6,0.6,0.6,853.39,0.4667,0.4667,0.1,
题型,module_m4_bool_2,10,6,0.6,0.6,667.95,0.4667,0.4667,0.0,
题型,module_m4_bool_3,10,6,0.6,0.6,882.73,0.6333,0.6333,0.2,
题型,module_m4_bool_4,10,8,0.8,0.8,632.68,0.5,0.5,0.1,
来源标签,,200,82,0.41,0.4188,680.46,0.33,0.5611,0.02,
难度,中等,100,47,0.47,0.47,705.85,0.39,0.69,0.0,
难度,困难,50,28,0.56,0.56,724.56,0.4133,0.4133,0.08,
难度,简单,50,7,0.14,0.175,585.58,0.1267,0.449,0.0,
