分组维度,分类,题数,正确题数,完全准确率,平均部分准确率,平均耗时毫秒,上下文精确率,证据召回率,幻觉率,多跳路径覆盖率
模块标签,M1_编号直答,50,10,0.2,0.2,345.11,0.1267,0.4388,0.0,
模块标签,M2_规则推理,50,22,0.44,0.44,440.05,0.36,0.78,0.02,
模块标签,M3_查询理解与语义检索增强,50,22,0.44,0.44,659.06,0.3933,0.76,0.02,
模块标签,M4_证据裁决,50,36,0.72,0.72,528.06,0.4067,0.4067,0.1,
情景类别,模块专项测试,200,90,0.45,0.45,493.07,0.3217,0.5972,0.035,
题型,module_m1_action,10,2,0.2,0.2,284.09,0.1333,0.3333,0.0,
题型,module_m1_cause,10,2,0.2,0.2,301.73,0.1667,0.4,0.0,
题型,module_m1_effect,10,2,0.2,0.2,54.05,0.3333,0.5,0.0,
题型,module_m1_rpn,10,3,0.3,0.3,496.82,0.0,0.4,0.0,
题型,module_m1_sod,10,1,0.1,0.1,588.87,0.0,0.55,0.0,
题型,module_m2_avg_d,10,7,0.7,0.7,485.58,0.4666,0.8,0.0,
题型,module_m2_avg_rpn,10,10,1.0,1.0,8.43,0.0,1.0,0.0,
题型,module_m2_avg_s,10,3,0.3,0.3,708.8,0.4,0.7,0.0,
题型,module_m2_max_mode,10,2,0.2,0.2,60.64,0.4667,0.9,0.0,
题型,module_m2_min_mode,10,0,0.0,0.0,936.82,0.4667,0.5,0.1,
题型,module_m3_action,10,4,0.4,0.4,718.88,0.2,0.5,0.1,
题型,module_m3_cause,10,5,0.5,0.5,773.72,0.3333,0.7,0.0,
题型,module_m3_cause2,10,3,0.3,0.3,881.48,0.4333,0.9,0.0,
题型,module_m3_effect,10,2,0.2,0.2,114.52,0.3666,0.9,0.0,
题型,module_m3_effect2,10,8,0.8,0.8,806.67,0.6333,0.8,0.0,
题型,module_m4_bool_0,10,8,0.8,0.8,61.52,0.0,0.0,0.0,
题型,module_m4_bool_1,10,7,0.7,0.7,872.41,0.4667,0.4667,0.1,
题型,module_m4_bool_2,10,10,1.0,1.0,306.74,0.4667,0.4667,0.0,
题型,module_m4_bool_3,10,4,0.4,0.4,829.81,0.6,0.6,0.2,
题型,module_m4_bool_4,10,7,0.7,0.7,569.84,0.5,0.5,0.2,
来源标签,,200,90,0.45,0.45,493.07,0.3217,0.5972,0.035,
难度,中等,100,44,0.44,0.44,549.55,0.3767,0.77,0.02,
难度,困难,50,36,0.72,0.72,528.06,0.4067,0.4067,0.1,
难度,简单,50,10,0.2,0.2,345.11,0.1267,0.4388,0.0,
