分组维度,分类,题数,正确题数,完全准确率,平均部分准确率,平均耗时毫秒,上下文精确率,证据召回率,幻觉率,多跳路径覆盖率
模块标签,M1_编号直答,50,15,0.3,0.3,903.48,0.1133,0.5663,0.0,
模块标签,M2_规则推理,50,37,0.74,0.74,1144.5,0.2256,0.92,0.0,
模块标签,M3_查询理解与语义检索增强,50,33,0.66,0.66,950.56,0.31,0.88,0.0,
模块标签,M4_证据裁决,50,31,0.62,0.62,985.53,0.4,0.4,0.0,
情景类别,模块专项测试,200,116,0.58,0.58,996.02,0.2622,0.6922,0.0,
题型,module_m1_action,10,2,0.2,0.2,1110.14,0.0833,0.3333,0.0,
题型,module_m1_cause,10,5,0.5,0.5,945.41,0.1333,0.6,0.0,
题型,module_m1_effect,10,1,0.1,0.1,813.67,0.35,0.7,0.0,
题型,module_m1_rpn,10,5,0.5,0.5,820.16,0.0,0.5,0.0,
题型,module_m1_sod,10,2,0.2,0.2,828.03,0.0,0.675,0.0,
题型,module_m2_avg_d,10,8,0.8,0.8,1366.97,0.2687,1.0,0.0,
题型,module_m2_avg_rpn,10,10,1.0,1.0,9.34,0.0,1.0,0.0,
题型,module_m2_avg_s,10,7,0.7,0.7,1329.89,0.2454,1.0,0.0,
题型,module_m2_max_mode,10,8,0.8,0.8,1777.83,0.2306,1.0,0.0,
题型,module_m2_min_mode,10,4,0.4,0.4,1238.45,0.3833,0.6,0.0,
题型,module_m3_action,10,6,0.6,0.6,865.71,0.15,0.7,0.0,
题型,module_m3_cause,10,7,0.7,0.7,1085.68,0.2167,1.0,0.0,
题型,module_m3_cause2,10,4,0.4,0.4,1088.24,0.2667,0.9,0.0,
题型,module_m3_effect,10,8,0.8,0.8,747.88,0.3834,0.9,0.0,
题型,module_m3_effect2,10,8,0.8,0.8,965.29,0.5333,0.9,0.0,
题型,module_m4_bool_0,10,2,0.2,0.2,777.82,0.0,0.0,0.0,
题型,module_m4_bool_1,10,5,0.5,0.5,1136.91,0.45,0.45,0.0,
题型,module_m4_bool_2,10,7,0.7,0.7,833.09,0.4667,0.4667,0.0,
题型,module_m4_bool_3,10,7,0.7,0.7,1185.71,0.5667,0.5667,0.0,
题型,module_m4_bool_4,10,10,1.0,1.0,994.15,0.5167,0.5167,0.0,
来源标签,,200,116,0.58,0.58,996.02,0.2622,0.6922,0.0,
难度,中等,100,70,0.7,0.7,1047.53,0.2678,0.9,0.0,
难度,困难,50,31,0.62,0.62,985.53,0.4,0.4,0.0,
难度,简单,50,15,0.3,0.3,903.48,0.1133,0.5663,0.0,
